Gene	Correlation	Labels	dot	class
ENSG00000135913.11	0.435206091			
ENSG00000010404.18	0.435194003			
ENSG00000171988.19	0.435011126			
ENSG00000179295.18	0.434975586			
ENSG00000115183.15	0.434847557			
ENSG00000140945.17	0.434348157			
ENSG00000120690.16	0.434340935			
ENSG00000075391.17	0.433824908			
ENSG00000102755.12	0.43355331			
ENSG00000136051.15	0.433464706			
ENSG00000108239.9	0.433389501			
ENSG00000106771.13	0.433349783			
ENSG00000112234.9	0.433149815			
ENSG00000136925.15	0.432119187			
ENSG00000128585.18	0.43186656			
ENSG00000134852.15	0.431780743			
ENSG00000117868.17	0.431348704			
ENSG00000146376.11	0.431104897			
ENSG00000127870.17	0.430839773			
ENSG00000056097.16	0.430754276			
ENSG00000180398.13	0.43032887			
ENSG00000152601.17	0.430141413			
ENSG00000171100.15	0.429957243			
ENSG00000005812.11	0.42962202			
ENSG00000129636.13	0.429131712			
ENSG00000156642.17	0.428968572			
ENSG00000169379.16	0.428567586			
ENSG00000100485.12	0.428322658			
ENSG00000181904.9	0.428311276			
ENSG00000176986.16	0.428149779			
ENSG00000112419.14	0.427840364			
ENSG00000166734.20	0.427243407			
ENSG00000139218.18	0.427119663			
ENSG00000131725.14	0.426974725			
ENSG00000064989.13	0.426933627			
ENSG00000173905.9	0.426845985			
ENSG00000188211.9	0.426651699			
ENSG00000219201.4	0.42632714			
ENSG00000168438.15	0.42602271			
ENSG00000124486.13	0.425914456			
ENSG00000069431.11	0.425869001			
ENSG00000159459.12	0.425865071			
ENSG00000164023.14	0.425856498			
ENSG00000177189.14	0.425350937			
ENSG00000164597.15	0.425204097			
ENSG00000163681.16	0.424951026			
ENSG00000118482.12	0.424885919			
ENSG00000196455.8	0.424331031			
ENSG00000280347.1	0.424111459			
ENSG00000243415.2	0.423875457			
ENSG00000186260.17	0.423840234			
ENSG00000177200.17	0.422941468			
ENSG00000213250.5	0.422846815			
ENSG00000144228.9	0.421797857			
ENSG00000165813.20	0.421787273			
ENSG00000217128.12	0.421484743			
ENSG00000155903.13	0.421398823			
ENSG00000111897.7	0.421227124			
ENSG00000114331.15	0.420807772			
ENSG00000111727.12	0.420392186			
ENSG00000173276.14	0.420372353			
ENSG00000177888.8	0.4201886			
ENSG00000104133.15	0.41991593			
ENSG00000166398.14	0.41964327			
ENSG00000197077.13	0.419520849			
ENSG00000240809.1	0.419231687			
ENSG00000170242.19	0.419164012			
ENSG00000134255.14	0.418879997			
ENSG00000011566.15	0.418523257			
ENSG00000075420.13	0.418194608			
ENSG00000178502.6	0.41807438			
ENSG00000237916.1	0.418055011			
ENSG00000071794.16	0.418002366			
ENSG00000179119.15	0.417631963			
ENSG00000108510.10	0.417395037			
ENSG00000115816.15	0.417244741			
ENSG00000115306.16	0.417160499			
ENSG00000140992.19	0.41680359			
ENSG00000205339.10	0.416726572			
ENSG00000116747.13	0.416660043			
ENSG00000224431.1	0.416635538			
ENSG00000138592.14	0.416502907			
ENSG00000151239.14	0.416436567			
ENSG00000179277.9	0.416413239			
ENSG00000213625.9	0.416083838			
ENSG00000130779.21	0.416025109			
ENSG00000115808.12	0.416007997			
ENSG00000196712.18	0.41576884			
ENSG00000120868.14	0.415535384			
ENSG00000106299.8	0.415463679			
ENSG00000165240.20	0.41535958			
ENSG00000166068.13	0.414639506			
ENSG00000197081.16	0.414421576			
ENSG00000143337.19	0.414381437			
ENSG00000107863.18	0.414297412			
ENSG00000156273.16	0.414254205			
ENSG00000171150.9	0.414225574			
ENSG00000164463.12	0.414217514			
ENSG00000113712.19	0.414023881			
ENSG00000163399.16	0.413700314			
ENSG00000112697.17	0.413638528			
ENSG00000122786.20	0.41362151			
ENSG00000158352.16	0.413143529			
ENSG00000235636.1	0.412977896			
ENSG00000076321.11	0.412046628			
ENSG00000145817.17	0.411975998			
ENSG00000112305.15	0.411769094			
ENSG00000218586.3	0.411657428			
ENSG00000149308.17	0.411517522			
ENSG00000001629.10	0.411419246			
ENSG00000236304.1	0.411149361			
ENSG00000130150.12	0.411013371			
ENSG00000107771.17	0.410713047			
ENSG00000138119.17	0.410294368			
ENSG00000132824.14	0.409888936			
ENSG00000160218.13	0.409847728			
ENSG00000107669.18	0.40982977			
ENSG00000131023.13	0.409795484			
ENSG00000239407.5	0.409749035			
ENSG00000116539.14	0.409744986			
ENSG00000112893.9	0.409557035			
ENSG00000162378.13	0.409341774			
ENSG00000168827.15	0.40930154			
ENSG00000113658.18	0.408994059			
ENSG00000166004.15	0.408986855			
ENSG00000150768.16	0.408843101			
ENSG00000163625.16	0.408835784			
ENSG00000117151.13	0.408699351			
ENSG00000140526.18	0.408366941			
ENSG00000049130.16	0.408197528			
ENSG00000113369.9	0.407588565			
ENSG00000128052.10	0.406811118			
ENSG00000116005.12	0.406691546			
ENSG00000198363.18	0.406685344			
ENSG00000100815.12	0.406601736			
ENSG00000137501.17	0.406554565			
ENSG00000134313.16	0.40650591			
ENSG00000165895.19	0.406444475			
ENSG00000144724.20	0.40640282			
ENSG00000120156.22	0.406352903			
ENSG00000038219.13	0.406267074			
ENSG00000142798.20	0.406262536			
ENSG00000005020.13	0.406132828			
ENSG00000087303.18	0.405818525			
ENSG00000156162.16	0.405621231			
ENSG00000181315.11	0.405414213			
ENSG00000018408.15	0.405099556			
